iter	RMSE
0	24.57031352
1	23.47753286
2	22.48863631
3	21.53904364
4	20.60776224
5	19.70076592
6	18.8249039
7	17.9648545
8	17.14899641
9	16.41895709
10	15.70747512
11	14.99894171
12	14.35256185
13	13.75624679
14	13.16489648
15	12.57224618
16	12.01696195
17	11.52093072
18	11.01962362
19	10.52542386
20	10.06405275
21	9.633519955
22	9.233515992
23	8.81244302
24	8.450573819
25	8.088632258
26	7.746698869
27	7.416781529
28	7.096744182
29	6.812471222
30	6.532845114
31	6.272416536
32	6.006150544
33	5.767764214
34	5.529539639
35	5.301306479
36	5.088846111
37	4.888026876
38	4.696476271
39	4.507960554
40	4.328203731
41	4.142375638
42	3.976650743
43	3.819013013
44	3.665834496
45	3.528828777
46	3.387799453
47	3.253669854
48	3.123520922
49	3.007296576
50	2.888711406
51	2.781072765
52	2.674521078
53	2.580157362
54	2.486242828
55	2.399954163
56	2.324904406
57	2.243694691
58	2.168153576
59	2.09255843
60	2.021595379
61	1.953581384
62	1.891315299
63	1.83253561
64	1.775600713
65	1.719415946
66	1.668741729
67	1.620958915
68	1.576015728
69	1.533293111
70	1.494382239
71	1.454537303
72	1.416749823
73	1.38106192
74	1.347374443
75	1.315588756
76	1.287947825
77	1.25945658
78	1.233043923
79	1.208327776
80	1.181656369
81	1.159495091
82	1.138971767
83	1.11546972
84	1.0973323
85	1.080164605
86	1.063355149
87	1.047279608
88	1.030131108
89	1.013462939
90	0.9991758147
91	0.984436886
92	0.9683055012
93	0.9558414841
94	0.9423679272
95	0.9284313568
96	0.9166562062
97	0.9034627851
98	0.8927623612
99	0.882534386
100	0.8715037851
101	0.8625838753
102	0.8545298218
103	0.8461240837
104	0.840629808
105	0.8313948616
106	0.8250780196
107	0.8167498189
108	0.8080138212
109	0.8033539721
110	0.7980216012
111	0.7930013024
112	0.7876980845
113	0.7827911839
114	0.7762278532
115	0.7696060946
116	0.764430642
117	0.7608023069
118	0.7552491317
119	0.7502419026
120	0.7449671542
121	0.7410790821
122	0.7358791771
123	0.7321827185
124	0.7253587323
125	0.7230491897
126	0.7181225982
127	0.714874927
128	0.7099626997
129	0.706931406
130	0.7033463973
131	0.7012772646
132	0.6959778639
133	0.6929071768
134	0.6883363821
135	0.6840428369
136	0.6811930313
137	0.6787250743
138	0.6734121518
139	0.6684590627
140	0.6662926111
141	0.6638524189
142	0.6599592766
143	0.6561658572
144	0.653175321
145	0.6516410271
146	0.6493163686
147	0.6469762779
148	0.6434747166
149	0.6399719887
150	0.6375589372
151	0.6338505882
152	0.6308376881
153	0.6292523626
154	0.6266658841
155	0.6229781732
156	0.6203664824
157	0.6174766442
158	0.6160688121
159	0.6131392351
160	0.6092804139
161	0.6067525558
162	0.6056045836
163	0.6036987408
164	0.6024843789
165	0.6008254502
166	0.5997794669
167	0.5967831122
168	0.5935479207
169	0.5910373144
170	0.5879330938
171	0.5861615208
172	0.5830585214
173	0.5818192327
174	0.5808817726
175	0.5798709946
176	0.5772822125
177	0.5740509884
178	0.5720916919
179	0.569591537
180	0.5679575628
181	0.5666216219
182	0.5636845674
183	0.5611580591
184	0.559338856
185	0.5580783549
186	0.5546615765
187	0.5535447286
188	0.5520305091
189	0.5512831759
190	0.5494159911
191	0.5475687284
192	0.545852662
193	0.5430868541
194	0.5405656865
195	0.5379696822
196	0.5365516538
197	0.5345198132
198	0.533598843
199	0.5312713529
