iter	Passed	Remaining
0	117	23306
1	121	12010
2	128	8416
3	133	6536
4	136	5334
5	140	4530
6	145	4017
7	149	3580
8	151	3222
9	154	2934
10	157	2697
11	160	2511
12	162	2343
13	165	2200
14	168	2077
15	171	1966
16	174	1874
17	177	1795
18	196	1873
19	201	1813
20	204	1745
21	208	1684
22	211	1626
23	214	1574
24	218	1531
25	222	1487
26	225	1444
27	228	1401
28	230	1361
29	233	1322
30	236	1287
31	239	1257
32	242	1227
33	245	1197
34	247	1168
35	250	1139
36	253	1114
37	255	1089
38	258	1066
39	261	1045
40	264	1025
41	267	1006
42	270	987
43	273	970
44	277	954
45	280	937
46	283	923
47	287	908
48	289	893
49	292	877
50	295	861
51	297	847
52	301	834
53	317	858
54	320	845
55	323	832
56	326	820
57	329	806
58	333	796
59	335	783
60	338	771
61	341	760
62	344	748
63	347	739
64	350	727
65	353	716
66	356	706
67	358	696
68	361	686
69	364	676
70	366	666
71	369	656
72	372	648
73	375	639
74	378	630
75	381	621
76	383	612
77	387	606
78	390	597
79	393	589
80	395	581
81	398	572
82	400	564
83	403	556
84	406	549
85	409	543
86	412	535
87	415	528
88	418	521
89	421	514
90	425	509
91	427	502
92	430	495
93	433	489
94	436	482
95	439	475
96	442	470
97	445	464
98	448	457
99	451	451
100	455	446
101	459	441
102	461	435
103	464	428
104	467	422
105	469	416
106	473	411
107	476	406
108	479	400
109	481	394
110	484	388
111	487	383
112	490	377
113	493	372
114	496	367
115	499	361
116	501	355
117	505	351
118	508	346
119	511	340
120	513	335
121	517	330
122	520	326
123	523	321
124	526	315
125	529	311
126	534	306
127	537	302
128	540	297
129	542	292
130	545	287
131	548	282
132	551	277
133	554	273
134	558	268
135	560	263
136	562	258
137	565	254
138	568	249
139	571	244
140	574	240
141	577	235
142	581	231
143	584	227
144	586	222
145	589	218
146	592	213
147	595	209
148	598	204
149	601	200
150	603	195
151	605	191
152	608	186
153	611	182
154	614	178
155	617	174
156	620	169
157	623	165
158	625	161
159	628	157
160	631	152
161	633	148
162	636	144
163	638	140
164	642	136
165	645	132
166	648	128
167	650	123
168	653	119
169	657	116
170	661	112
171	664	108
172	667	104
173	670	100
174	673	96
175	676	92
176	679	88
177	681	84
178	684	80
179	687	76
180	690	72
181	692	68
182	695	64
183	698	60
184	700	56
185	703	52
186	706	49
187	709	45
188	712	41
189	714	37
190	717	33
191	720	30
192	723	26
193	726	22
194	729	18
195	731	14
196	735	11
197	738	7
198	741	3
199	743	0
